rnum,docid,hot,thank,gift,contr,views,yviews,article,patient1,ypatient,period,treat,once
902,http://smuwangjun.haodf.com/,4.6,122,139,41045,299613,929,77,1415,1,4,1,1
903,http://songyuedr.haodf.com/,5,185,1525,61425,1081315,1518,15,2730,4,4,1,1
904,http://drhuzhiwei.haodf.com/,4.9,306,526,77439,2553909,1564,51,4755,0,4,1,1
905,http://weiyizhen.haodf.com/,4.8,163,676,36575,1188848,988,23,2568,1,4,1,1
906,http://fuwai.haodf.com/,4.7,293,205,39900,195841,509,13,1213,1,4,1,1
907,http://lancetsun.haodf.com/,4.7,99,489,48360,447361,905,9,1478,2,4,1,1
908,http://huyangdr.haodf.com/,4.7,116,532,45005,1018212,1652,11,2460,0,4,1,1
909,http://zhaoxiaoganglung.haodf.com/,4.5,79,261,12135,458098,1363,17,1330,5,4,1,1
910,http://chentianxiang.haodf.com/,4.5,81,310,13120,229195,1070,22,754,0,4,1,1
911,http://wkun.haodf.com/,4.2,31,265,30955,560303,777,85,887,1,4,1,1
912,http://drsuweijie.haodf.com/,4.9,381,400,101650,6985436,6774,17,12202,3,4,1,1
913,http://pumcyuxiaobo.haodf.com/,5,348,586,150560,5142936,9513,120,11642,5,4,1,1
914,http://mudali.haodf.com/,4.9,376,600,108985,6181838,5408,46,5842,6,4,1,1
915,http://yxnan9988.haodf.com/,4.7,166,288,33900,1595246,3630,16,3961,3,4,1,1
916,http://liweiboshi2.haodf.com/,4.6,139,237,69980,2367183,2623,10,6723,0,4,1,1
917,http://plasticzhang.haodf.com/,4.5,189,311,97645,4424733,3863,8,8588,2,4,1,1
918,http://dongjiying.haodf.com/,4.5,64,352,90850,2691342,3687,13,7484,3,4,1,1
919,http://libo97123.haodf.com/,4.4,97,309,76470,1016844,2128,206,2023,0,4,1,1
920,http://chengchenprs.haodf.com/,4.2,15,54,33335,457723,993,8,1803,0,4,1,1
921,http://baoshiwei.haodf.com/,4,9,35,40140,1618268,2897,14,5268,1,4,1,1
922,http://panbodoc.haodf.com/,4.4,106,280,35670,588971,1662,2,1901,0,4,1,1
923,http://wangmh1970.haodf.com/,4.3,174,941,71820,1084349,1562,13,4647,2,4,1,1
924,http://cyz200295.haodf.com/,4.2,71,495,67135,484142,947,55,2694,2,4,1,1
925,http://zcx33.haodf.com/,4.3,72,470,56895,893744,1514,25,4559,21,4,1,1
926,http://hanzhonghua.haodf.com/,4.2,39,681,28625,195436,655,35,1278,0,4,1,1
927,http://zhangcuijian.haodf.com/,4.7,207,545,32665,1143327,2033,27,2481,0,4,1,1
928,http://zhuyao.haodf.com/,4.6,207,1231,47380,2169817,2402,81,2763,1,4,1,1
929,http://yehuamaodr.haodf.com/,4.6,138,651,48115,419431,850,4,2019,0,4,1,1
930,http://hehuixing.haodf.com/,4.5,79,584,64470,928727,1045,1,2684,0,4,1,1
931,http://hexueyou.haodf.com/,4.5,79,243,44195,1904279,2184,23,3641,0,4,1,1
932,http://wangjinxhxq.haodf.com/,4.5,78,371,78765,1560716,1631,56,3895,0,4,1,1
933,http://yangfanzdyfy.haodf.com/,4.4,80,125,26415,279691,938,8,1892,0,4,1,1
934,http://liulei84.haodf.com/,4.2,45,73,37490,317455,922,11,1914,1,4,1,1
935,http://zhouyfdr.haodf.com/,4.2,36,161,22145,249360,455,13,1157,0,4,1,1
936,http://wangchaoliang200.haodf.com/,4,17,92,17380,380877,812,5,1831,0,4,1,1
937,http://linwgacxy.haodf.com/,4.2,61,137,33390,202079,438,1,1134,1,4,1,1
938,http://zhanghuiming1982.haodf.com/,3.7,8,25,25800,1108205,996,16,2687,1,4,1,1
939,http://dryanjianjun.haodf.com/,4.6,189,254,18945,629454,1500,9,2055,0,4,1,1
940,http://kingsh.haodf.com/,4.3,66,583,54662,1801932,2125,15,2779,0,4,1,1
941,http://huxp.haodf.com/,5,109,656,46980,836293,1045,13,2027,0,4,1,1
942,http://yinjiebjmu.haodf.com/,4.9,182,954,86813,3662761,6382,82,4887,1,4,1,1
